feature,importance
oi_open,0.027684428
ls_global_global_account_short_percent,0.025836442
oi_low,0.023990558
taker_buy_mean_12,0.023719711
basis_mean_24,0.02369054
oi_mean_24,0.023511343
price_open,0.023028001
ls_top_top_account_long_percent,0.022528801
ls_global_global_account_long_percent,0.022479933
ls_top_top_account_long_short_ratio,0.02213005
funding_std_24,0.021956779
oi_close,0.021840677
price_high,0.021798864
funding_mean_24,0.021577116
price_close_mean_5,0.021323748
price_low,0.021144168
liq_short_mean_12,0.02063619
taker_sell_mean_12,0.020199036
basis_volatility_24,0.02014981
price_close,0.02009641
liq_long_mean_12,0.019945554
taker_buy_std_12,0.01968045
oi_high,0.019109422
cross_oi_funding,0.018896744
price_close_return_5,0.018781548
ls_top_top_account_short_percent,0.018594854
funding_high,0.018514542
orderbook_bid_mean_12,0.018447127
taker_buy_zscore,0.018328538
ls_top_zscore,0.018269897
taker_sell_std_12,0.01781181
price_rolling_vol_5,0.017669082
ls_top_vs_global,0.01739267
funding_open,0.017351815
ls_global_global_account_long_short_ratio,0.017154513
funding_zscore,0.017079575
price_volume_zscore,0.016860863
price_volume_mean_10,0.016850356
ls_global_zscore,0.01676005
taker_aggregated_buy_volume,0.016655274
taker_sell_zscore,0.016073432
basis_close_basis,0.01602312
cross_oi_taker,0.015898064
liq_short_zscore,0.015800288
oi_zscore,0.015469771
orderbook_ask_mean_12,0.0154492
orderbook_bid_zscore,0.0148044955
liq_imbalance,0.014618998
cross_ob_price,0.013882208
orderbook_aggregated_bids_usd,0.01383215
basis_open_basis,0.013798747
orderbook_imbalance_qty,0.012677995
cross_funding_price,0.012194232
