feature,importance
ls_top_top_account_long_short_ratio,0.016294252
cross_oi_funding,0.01491612
oi_pct_change,0.014914717
price_close_mean_5,0.014369351
ls_top_top_account_short_percent,0.014159376
price_close,0.013622103
price_high,0.01288278
oi_zscore,0.012582012
basis_mean_24,0.012563984
oi_mean_24,0.012399737
cross_taker_price,0.012274988
ls_top_top_account_long_percent,0.012119218
funding_close,0.012050858
orderbook_ask_mean_12,0.011928237
ls_global_global_account_long_short_ratio,0.011689903
funding_low,0.011666487
ls_global_ratio,0.0116087375
taker_sell_std_12,0.011439616
funding_zscore,0.011400362
oi_low,0.011240102
orderbook_aggregated_bids_quantity,0.011235633
price_low,0.011181394
cross_oi_taker,0.011179241
orderbook_bid_mean_12,0.011173194
orderbook_aggregated_asks_quantity,0.011171293
funding_mean_24,0.011076565
funding_high,0.011031184
taker_buy_std_12,0.011016045
basis_volatility_24,0.010956519
price_rolling_vol_5,0.010766477
liq_long_mean_12,0.010765314
oi_close,0.01076147
funding_std_24,0.010654274
ls_top_ratio,0.0106366845
orderbook_ask_zscore,0.010606976
orderbook_bid_ask_ratio_qty,0.010485772
taker_buy_zscore,0.010434251
ls_top_vs_global,0.0103580495
taker_sell_mean_12,0.010312524
price_close_std_5,0.01011287
ls_global_zscore,0.010086333
taker_buy_mean_12,0.010054847
ls_top_zscore,0.010009637
ls_global_global_account_short_percent,0.009959037
price_volume_mean_10,0.009839287
liq_aggregated_short_liquidation_usd,0.00970053
ls_global_global_account_long_percent,0.0096897725
liq_imbalance,0.0096590975
taker_aggregated_sell_volume,0.00960329
orderbook_bid_zscore,0.009575128
liq_long_zscore,0.009489607
liq_aggregated_long_liquidation_usd,0.009443417
orderbook_aggregated_asks_usd,0.009425574
taker_sell_zscore,0.009411217
taker_imbalance,0.0093703
funding_norm,0.00936511
funding_open,0.009354922
orderbook_imbalance_qty,0.009348721
price_wick_upper,0.009248048
cross_liq_spike_price,0.009236526
price_true_range,0.009136477
liq_short_mean_12,0.009130318
liq_short_zscore,0.009129351
taker_buy_ratio,0.009091911
taker_aggregated_buy_volume,0.009088795
price_volume_zscore,0.0090796705
price_open,0.009063116
oi_open,0.008993773
cross_oi_price,0.0089852465
price_close_return_5,0.008979617
cross_basis_taker,0.008921082
basis_close_basis,0.008885112
basis_close_change,0.008845785
basis_open_change,0.008845384
oi_high,0.00880246
basis_zscore,0.008782302
price_log_return,0.008749587
ls_global_delta,0.008649784
oi_range_pct,0.008544565
cross_ob_price,0.008522223
cross_liq_price,0.0084644165
basis_open_basis,0.008463673
cross_ls_price,0.008458856
price_wick_lower,0.008406289
cross_taker_funding,0.008377481
liq_long_spike,0.008352831
oi_range,0.008287414
price_close_return_1,0.008260569
basis_drift,0.008255817
orderbook_aggregated_bids_usd,0.008141828
orderbook_imbalance_usd,0.008062726
cross_funding_price,0.0079912245
price_volume_change,0.007978482
liq_long_ratio,0.007877644
price_body_size,0.0077434448
orderbook_bid_ask_ratio,0.0074711996
price_volume_usd,0.007362947
ls_top_delta,0.0073070275
basis_delta,0.0066014375
oi_delta,0.0059990603
funding_extreme_negative,0.0
funding_extreme_positive,0.0
liq_short_spike,0.0
ls_global_extreme_high,0.0
ls_global_extreme_low,0.0
