feature,importance
taker_buy_mean_12,0.030285703
price_close,0.025525272
ls_global_global_account_short_percent,0.02450874
taker_sell_mean_12,0.024233386
ls_top_top_account_short_percent,0.024227256
ls_top_top_account_long_percent,0.023927676
cross_oi_funding,0.023348333
price_close_mean_5,0.022606019
orderbook_bid_mean_12,0.022380676
oi_mean_24,0.022100346
price_rolling_vol_5,0.021151084
price_ema_26,0.020810561
funding_open,0.020007337
liq_long_mean_12,0.019787146
orderbook_aggregated_asks_usd,0.019719616
funding_std_24,0.019409034
price_macd_histogram,0.019386321
basis_volatility_24,0.01895049
ls_top_top_account_long_short_ratio,0.018571502
ls_top_zscore,0.018420147
price_open,0.018325122
funding_mean_24,0.018086765
ls_global_global_account_long_percent,0.01808031
price_volume_mean_10,0.017953716
basis_mean_24,0.017788045
cross_taker_funding,0.0166437
price_ema_12,0.016415365
funding_zscore,0.016331127
orderbook_ask_mean_12,0.016151503
price_macd_signal,0.016113598
liq_short_mean_12,0.016093686
taker_buy_std_12,0.01603064
cross_funding_price,0.015991801
price_macd,0.015807854
funding_high,0.015534108
orderbook_bid_zscore,0.013863927
price_rsi_14,0.013673333
ls_top_vs_global,0.013498207
ls_global_zscore,0.01293665
price_high,0.0126209445
taker_buy_zscore,0.011820079
basis_open_change,0.011623601
cross_ls_price,0.011522807
taker_sell_std_12,0.011414533
liq_short_zscore,0.011252067
price_close_std_5,0.010947303
price_wick_upper,0.010822833
oi_zscore,0.0108151045
price_low,0.010712486
ls_global_global_account_long_short_ratio,0.010468204
liq_long_zscore,0.010117338
funding_low,0.009768758
price_wick_lower,0.009598383
taker_sell_zscore,0.009157535
price_volume_zscore,0.008393142
taker_imbalance,0.00832279
price_volume_usd,0.008205695
taker_buy_ratio,0.008093169
price_close_return_5,0.007849796
cross_liq_price,0.007826455
basis_close_basis,0.006754594
cross_taker_price,0.0065940353
basis_open_basis,0.0064643696
basis_zscore,0.005795469
orderbook_bid_ask_ratio_qty,0.005658642
price_close_return_1,0.005258186
liq_long_ratio,0.0038430819
orderbook_ask_zscore,0.0036025345
oi_low,0.0
oi_close,0.0
liq_short_spike,0.0
ls_top_delta,0.0
