feature,importance
funding_norm,0.015576561
oi_pct_change,0.013597477
price_open,0.013398081
funding_close,0.013323948
price_close,0.0131394435
oi_low,0.0127224745
oi_open,0.012629976
taker_buy_mean_12,0.01249932
price_high,0.012469981
taker_sell_zscore,0.012368427
orderbook_aggregated_asks_quantity,0.012320421
liq_imbalance,0.01229795
basis_mean_24,0.011843063
price_low,0.011730111
funding_mean_24,0.011669069
basis_volatility_24,0.011474695
taker_buy_std_12,0.011429927
ls_global_global_account_long_short_ratio,0.011362821
orderbook_ask_mean_12,0.011263696
price_close_mean_5,0.011115709
orderbook_bid_ask_ratio_qty,0.011110253
funding_std_24,0.011079658
ls_top_ratio,0.011041064
oi_range_pct,0.011030573
ls_top_top_account_long_percent,0.010964244
funding_low,0.0109307235
ls_top_zscore,0.010920667
ls_top_vs_global,0.010906735
taker_sell_mean_12,0.010887123
price_rolling_vol_5,0.010791288
cross_oi_funding,0.010776341
liq_long_ratio,0.010724031
funding_open,0.010684511
ls_global_global_account_long_percent,0.010645348
oi_zscore,0.010567925
ls_global_zscore,0.010550398
liq_long_mean_12,0.010543912
basis_close_change,0.010285365
funding_high,0.01027455
funding_zscore,0.010272952
price_body_size,0.010262861
liq_long_zscore,0.01025298
taker_aggregated_buy_volume,0.01023594
basis_zscore,0.010224088
cross_funding_price,0.01017393
taker_aggregated_sell_volume,0.010148329
liq_aggregated_short_liquidation_usd,0.010089275
price_wick_upper,0.010043921
taker_buy_zscore,0.010042268
cross_taker_price,0.010016147
taker_buy_ratio,0.010011429
cross_basis_taker,0.009993362
price_close_std_5,0.009922048
taker_imbalance,0.009915112
orderbook_bid_mean_12,0.009901368
liq_short_mean_12,0.009878531
price_close_return_5,0.009839232
oi_delta,0.009799944
ls_top_top_account_long_short_ratio,0.009750535
oi_high,0.009691246
taker_sell_std_12,0.009644658
price_volume_change,0.00963476
orderbook_ask_zscore,0.009626248
orderbook_bid_zscore,0.009610885
price_close_return_1,0.009601795
oi_mean_24,0.009576592
price_volume_mean_10,0.0095681
orderbook_bid_ask_ratio,0.009501699
orderbook_aggregated_bids_quantity,0.009487093
ls_top_delta,0.009413196
orderbook_aggregated_bids_usd,0.009307157
liq_short_zscore,0.009282744
liq_aggregated_long_liquidation_usd,0.0092570335
price_volume_usd,0.009199509
basis_drift,0.009192239
price_volume_zscore,0.009127148
basis_close_basis,0.009120157
cross_liq_spike_price,0.009119117
cross_liq_price,0.0091143735
orderbook_imbalance_usd,0.009056259
cross_ob_price,0.009043132
cross_oi_taker,0.009012045
price_log_return,0.008805844
cross_taker_funding,0.008752942
ls_top_top_account_short_percent,0.008726571
cross_oi_price,0.008717264
basis_delta,0.0086767
orderbook_imbalance_qty,0.0086286655
ls_global_global_account_short_percent,0.008625518
price_true_range,0.008586872
price_wick_lower,0.008509133
cross_ls_price,0.008384064
ls_global_delta,0.008283518
basis_open_change,0.008266666
ls_global_ratio,0.008069303
orderbook_aggregated_asks_usd,0.0076164743
oi_close,0.006825478
basis_open_basis,0.005615709
funding_extreme_negative,0.0
funding_extreme_positive,0.0
oi_range,0.0
ls_global_extreme_high,0.0
liq_short_spike,0.0
liq_long_spike,0.0
ls_global_extreme_low,0.0
