exchange,symbol,interval,side,entry_time,entry_price,exit_time,exit_price,quantity,leverage,margin_used,pnl,pnl_pct_on_margin
Binance,BTCUSDT,1h,long,2024-01-01 01:00:00,42647.9,2024-01-03 03:00:00,45297.8,0.04689562674832758,10.0,200.0,124.26872132039333,0.6213436066019666
Binance,BTCUSDT,1h,long,2024-01-03 05:00:00,45200.0,2024-01-03 06:00:00,45362.7,0.049673407691675456,10.0,224.52380276637305,8.081863431435453,0.0359955752212383
Binance,BTCUSDT,1h,long,2024-01-03 07:00:00,45030.4,2024-01-03 12:00:00,42795.8,0.05013952592452197,10.0,225.78029081915943,-112.04178463093672,-0.4962425383740758
Binance,BTCUSDT,1h,long,2024-01-03 16:00:00,43009.2,2024-01-04 00:00:00,42883.4,0.04720377239530889,10.0,203.0196487704319,-5.938234567329652,-0.0292495559089673
Binance,BTCUSDT,1h,long,2024-01-04 01:00:00,42716.6,2024-01-04 03:00:00,43119.6,0.047173147085137555,10.0,201.50764547769867,19.010778275310436,0.09434271454188771
Binance,BTCUSDT,1h,long,2024-01-04 07:00:00,42775.0,2024-01-04 08:00:00,42858.7,0.047921886157272796,10.0,204.98586803773438,4.0110618713635935,0.01956750438340084
Binance,BTCUSDT,1h,long,2024-01-04 09:00:00,43020.6,2024-01-04 12:00:00,43386.2,0.04775846504655839,10.0,205.459782138197,17.460494821021676,0.08498254324672332
Binance,BTCUSDT,1h,long,2024-01-04 16:00:00,43913.1,2024-01-04 21:00:00,44434.1,0.04750786180237664,10.0,208.62174861139454,24.75159599903823,0.11864341164709394
Binance,BTCUSDT,1h,long,2024-01-04 23:00:00,44143.8,2024-01-05 00:00:00,44207.5,0.04830492456148859,10.0,213.23629288574404,3.0770236945666825,0.014430112495978389
Binance,BTCUSDT,1h,long,2024-01-05 01:00:00,43374.5,2024-01-05 06:00:00,43847.9,0.04922483795643629,10.0,213.5102733941446,23.303038288577014,0.10914246850107816
Binance,BTCUSDT,1h,long,2024-01-05 10:00:00,43628.2,2024-01-05 23:00:00,44145.4,0.04992811997088266,10.0,217.82740037136628,25.82282364894073,0.11854717820125615
Binance,BTCUSDT,1h,long,2024-01-06 01:00:00,43961.5,2024-01-06 02:00:00,43900.1,0.05064462664710447,10.0,222.64137543466833,-3.1095800761322883,-0.013966766375124019
Binance,BTCUSDT,1h,long,2024-01-06 04:00:00,43851.1,2024-01-06 13:00:00,43701.2,0.050549126928435655,10.0,221.6634819851525,-7.5773141265725785,-0.03418386311859941
