TimeStamp,Signal,Price,Quantity,Saldo
-,-,-,-,1000.0
2024-01-01 02:00:00,Buy,42581.1,0.04696919525329313,799.2
2024-01-01 10:00:00,Sell,42691.1,0.04696919525329313,1003.5645448332712
2024-01-01 12:00:00,Buy,42648.38,0.04706225862896885,802.0487842307502
2024-01-01 16:00:00,Sell,42725.15,0.04706225862896885,1005.570365968646
2024-01-01 17:00:00,Buy,42812.7,0.04697533049626144,803.6518364821419
2024-01-01 18:00:00,Sell,43111.1,0.04697533049626144,1017.9732850277326
2024-01-01 19:00:00,Buy,43517.99,0.04678402127615419,813.5642493941639
2024-01-01 20:00:00,Sell,43687.86,0.04678402127615419,1024.288550585191
2024-01-01 22:00:00,Buy,43529.93,0.04706134609383433,818.6114096276846
2024-01-02 00:00:00,Sell,45056.0,0.04706134609383433,1094.439869774299
2024-01-02 01:00:00,Buy,44855.96,0.04879796886631337,874.6763439236198
2024-01-02 03:00:00,Sell,45402.38,0.04879796886631337,1119.342286456132
2024-01-02 04:00:00,Buy,45179.8,0.049550564033312754,894.5783553357406
2024-01-02 05:00:00,Sell,45179.48,0.049550564033312754,1117.5354889597836
2024-01-02 06:00:00,Buy,45168.75,0.04948268388918372,893.134362776659
2024-01-02 07:00:00,Sell,45455.53,0.04948268388918372,1129.9324000055537
2024-01-02 12:00:00,Buy,45301.99,0.04988444878494538,903.0419740844386
2024-01-02 16:00:00,Sell,45357.84,0.04988444878494538,1130.9094402115982
2024-01-02 17:00:00,Buy,44966.15,0.05030047892521812,903.8228246171093
2024-01-02 18:00:00,Sell,45154.69,0.05030047892521812,1138.5798439429018
2024-01-02 19:00:00,Buy,45039.49,0.05055918013027687,909.9530112791671
2024-01-02 21:00:00,Sell,45119.74,0.05055918013027687,1140.8138674483657
2024-01-02 22:00:00,Buy,44981.73,0.050723432266761,911.7384428647339
2024-01-03 00:00:00,Sell,45135.61,0.050723432266761,1146.7907648889545
2024-01-03 05:00:00,Buy,45172.13,0.05077426124864843,916.5151792992524
2024-01-03 06:00:00,Sell,45326.93,0.05077426124864843,1152.8126113641665
2024-01-03 07:00:00,Buy,45011.77,0.051222718474042084,921.3278390022418
2024-01-03 08:00:00,Sell,45200.0,0.051222718474042084,1160.6059068234335
2024-01-03 09:00:00,Buy,45344.67,0.05119040040752016,927.5562407332881
2024-01-03 15:00:00,Sell,43000.01,0.05119040040752016,1038.7728627867077
2024-01-03 17:00:00,Buy,42906.0,0.04842086714150504,830.1872719391367
2024-01-03 21:00:00,Sell,42917.62,0.04842086714150504,1037.6732516222428
2024-01-03 22:00:00,Buy,42749.68,0.04854648042381804,829.3084626964965
2024-01-04 00:00:00,Sell,42874.01,0.04854648042381804,1042.0463440171761
2024-01-04 01:00:00,Buy,42708.01,0.04879863725878008,832.8034381385271
2024-01-04 02:00:00,Sell,43138.49,0.04879863725878008,1061.3775044989611
2024-01-04 07:00:00,Buy,42763.08,0.049639899862169004,848.2529015955697
2024-01-04 09:00:00,Sell,43007.74,0.049639899862169004,1071.8193404328808
2024-01-04 11:00:00,Buy,43176.32,0.04964848048341688,856.5980168739584
2024-01-04 12:00:00,Sell,43378.12,0.04964848048341688,1080.1194852243973
2024-01-05 01:00:00,Buy,43376.0,0.04980263211104746,863.2314925913383
2024-01-05 02:00:00,Sell,43506.0,0.04980263211104746,1084.8630464856046
2024-01-05 03:00:00,Buy,43465.21,0.049918684229783065,867.0225467512952
2024-01-05 04:00:00,Sell,43589.88,0.049918684229783065,1089.3481386292094
2024-01-05 05:00:00,Buy,43644.15,0.04991954883434364,870.6070323924641
2024-01-05 06:00:00,Sell,43844.82,0.04991954883434364,1097.6185305296444
2024-01-05 09:00:00,Buy,44147.21,0.04972538606764253,877.2167295992917
2024-01-05 13:00:00,Sell,43986.01,0.04972538606764253,1087.8498149395868
2024-01-05 14:00:00,Buy,43486.04,0.05003213973677929,869.4095720997178
2024-01-05 17:00:00,Sell,43609.53,0.05003213973677929,1092.2852527842037
2024-01-05 19:00:00,Buy,43600.0,0.050104828109367144,872.9543740251356
2024-01-05 21:00:00,Sell,43946.26,0.050104828109367144,1107.8799544417861
2024-01-06 02:00:00,Buy,43909.31,0.05046218920050378,885.4176595898755
2024-01-06 03:00:00,Sell,43931.1,0.05046218920050378,1107.2064777889173
2024-01-06 04:00:00,Buy,43850.0,0.050499725326746514,884.8794170489027
2024-01-06 11:00:00,Sell,43671.96,0.050499725326746514,1096.4475727157198
2024-01-06 12:00:00,Buy,43607.96,0.05028657945548106,876.2809001144033
2024-01-06 16:00:00,Sell,43872.34,0.05028657945548106,1107.982704569464
2024-01-06 17:00:00,Buy,43963.72,0.05040441093562892,885.4997774919157
2024-01-06 18:00:00,Sell,43995.89,0.05040441093562892,1107.8307935379921
2024-01-06 19:00:00,Buy,43906.36,0.05046334032418046,885.3783701955633
2024-01-06 20:00:00,Sell,43826.44,0.05046334032418046,1102.0268473216865
2024-01-07 01:00:00,Buy,43967.72,0.05012890581188593,880.7398563794918
2024-01-07 13:00:00,Sell,44409.31,0.05012890581188593,1122.3911733140353
2024-01-07 15:00:00,Buy,44047.57,0.05096268299540861,897.015025712577
2024-01-07 17:00:00,Sell,44064.84,0.05096268299540861,1121.4751209218493
2024-01-07 18:00:00,Buy,44106.11,0.050853504012113034,896.282916640742
2024-01-07 19:00:00,Sell,44244.77,0.050853504012113034,1126.7292870559472
2024-01-07 20:00:00,Buy,44120.01,0.051075658734254466,900.482046215113
2024-01-07 21:00:00,Sell,44231.53,0.051075658734254466,1130.6201992757167
