exchange,symbol,interval,time,signal,price,quantity,leverage,margin_used,notional,fee,cash_after,equity_after
Binance,BTCUSDT,1h,2024-01-01 01:00:00,buy,42647.9,0.04689562674832758,10.0,200.0,2000.0,0.8,799.2,999.2
Binance,BTCUSDT,1h,2024-01-03 03:00:00,sell,45297.8,0.04689562674832758,10.0,200.0,2124.2687213203935,0.8497074885281575,1122.6190138318652,1122.6190138318652
Binance,BTCUSDT,1h,2024-01-03 05:00:00,buy,45200.0,0.049673407691675456,10.0,224.52380276637305,2245.2380276637305,0.8980952110654923,897.1971158544267,1121.7209186207997
Binance,BTCUSDT,1h,2024-01-03 06:00:00,sell,45362.7,0.049673407691675456,10.0,224.52380276637305,2253.319891095166,0.9013279564380664,1128.9014540957971,1128.9014540957971
Binance,BTCUSDT,1h,2024-01-03 07:00:00,buy,45030.4,0.05013952592452197,10.0,225.78029081915943,2257.8029081915943,0.9031211632766377,902.2180421133611,1127.9983329325205
Binance,BTCUSDT,1h,2024-01-03 12:00:00,sell,42795.8,0.05013952592452197,10.0,225.78029081915943,2145.7611235606573,0.858304449424263,1015.0982438521595,1015.0982438521595
Binance,BTCUSDT,1h,2024-01-03 16:00:00,buy,43009.2,0.04720377239530889,10.0,203.0196487704319,2030.196487704319,0.8120785950817276,811.2665164866459,1014.2861652570778
Binance,BTCUSDT,1h,2024-01-04 00:00:00,sell,42883.4,0.04720377239530889,10.0,203.0196487704319,2024.2582531369892,0.8097033012547957,1007.5382273884933,1007.5382273884933
Binance,BTCUSDT,1h,2024-01-04 01:00:00,buy,42716.6,0.047173147085137555,10.0,201.50764547769867,2015.0764547769868,0.8060305819107948,805.2245513288838,1006.7321968065825
Binance,BTCUSDT,1h,2024-01-04 03:00:00,sell,43119.6,0.047173147085137555,10.0,201.50764547769867,2034.0872330522973,0.813634893220919,1024.9293401886719,1024.9293401886719
Binance,BTCUSDT,1h,2024-01-04 07:00:00,buy,42775.0,0.047921886157272796,10.0,204.98586803773438,2049.8586803773437,0.8199434721509375,819.1235286787866,1024.109396716521
Binance,BTCUSDT,1h,2024-01-04 08:00:00,sell,42858.7,0.047921886157272796,10.0,204.98586803773438,2053.8697422487076,0.821547896899483,1027.298910690985,1027.298910690985
Binance,BTCUSDT,1h,2024-01-04 09:00:00,buy,43020.6,0.04775846504655839,10.0,205.459782138197,2054.59782138197,0.821839128552788,821.0172894242352,1026.4770715624322
Binance,BTCUSDT,1h,2024-01-04 12:00:00,sell,43386.2,0.04775846504655839,10.0,205.459782138197,2072.0583162029916,0.8288233264811967,1043.1087430569726,1043.1087430569726
