feature,importance
price_close_return_5,0.0304248
ls_global_global_account_long_short_ratio,0.025412895
price_close_return_1,0.025400598
funding_open,0.023499275
price_close,0.023035694
funding_mean_24,0.023026684
price_wick_upper,0.022747753
price_volume_usd,0.022696484
ls_global_global_account_long_percent,0.02257848
basis_close_change,0.022517366
price_close_mean_5,0.022440065
price_log_return,0.02240187
price_close_std_5,0.022363104
basis_open_change,0.022079874
price_volume_mean_10,0.022007193
cross_ls_price,0.021895476
funding_close,0.021757698
price_wick_lower,0.021626987
price_open,0.021234086
ls_top_zscore,0.02116795
price_volume_change,0.020925574
ls_top_top_account_short_percent,0.020687819
basis_open_basis,0.020480016
ls_top_delta,0.020409321
price_rolling_vol_5,0.020273244
basis_zscore,0.020271635
basis_drift,0.020194093
basis_mean_24,0.019927667
ls_global_zscore,0.019893723
ls_top_vs_global,0.019772835
basis_delta,0.019411096
basis_close_basis,0.019407969
ls_global_global_account_short_percent,0.019166248
funding_zscore,0.018991245
basis_volatility_24,0.018989448
funding_std_24,0.018483987
price_volume_zscore,0.018460276
ls_top_ratio,0.018307155
ls_top_top_account_long_short_ratio,0.018196357
ls_top_top_account_long_percent,0.018076198
funding_high,0.017930513
cross_funding_price,0.017884776
ls_global_delta,0.017720709
price_true_range,0.017609816
funding_norm,0.017604629
price_low,0.017047226
price_body_size,0.016451472
price_high,0.01591651
funding_low,0.011194187
funding_extreme_positive,0.0
funding_extreme_negative,0.0
ls_global_ratio,0.0
ls_global_extreme_high,0.0
ls_global_extreme_low,0.0
