feature,importance
cross_oi_funding,0.0361912
oi_zscore,0.027218817
price_close_mean_5,0.026126469
ls_top_top_account_long_percent,0.0255211
funding_low,0.025374066
price_high,0.024922028
oi_mean_24,0.024236793
funding_mean_24,0.023280228
taker_sell_mean_12,0.02221596
liq_long_mean_12,0.021934068
orderbook_bid_mean_12,0.02155868
ls_top_top_account_short_percent,0.021135025
orderbook_ask_mean_12,0.020773005
ls_global_global_account_long_short_ratio,0.02075493
price_close,0.020556983
basis_mean_24,0.020310719
oi_open,0.019819807
ls_global_global_account_long_percent,0.019348029
price_low,0.019221544
ls_top_top_account_long_short_ratio,0.019037569
basis_volatility_24,0.019026063
funding_std_24,0.018932147
ls_global_global_account_short_percent,0.018277574
ls_top_zscore,0.018094182
liq_imbalance,0.01751869
taker_buy_std_12,0.016771326
taker_sell_std_12,0.016607776
taker_buy_mean_12,0.016505102
taker_buy_zscore,0.016265178
liq_short_spike,0.016038135
funding_high,0.01563676
taker_sell_zscore,0.0153196845
ls_top_vs_global,0.015296024
orderbook_bid_ask_ratio_qty,0.01520662
funding_zscore,0.014779504
price_volume_mean_10,0.014435917
ls_global_delta,0.014286386
liq_short_mean_12,0.014227553
price_open,0.013993991
price_close_std_5,0.013661646
funding_open,0.013177978
orderbook_aggregated_bids_usd,0.012666803
basis_close_change,0.012548661
ls_global_zscore,0.012269507
price_rolling_vol_5,0.0120534105
oi_close,0.0116002625
price_volume_zscore,0.011215276
orderbook_bid_zscore,0.0111977495
cross_basis_taker,0.011008583
cross_liq_price,0.010299141
cross_ob_price,0.010165938
price_close_return_5,0.009900287
basis_open_basis,0.0098910155
price_close_return_1,0.009161593
price_volume_usd,0.0090251025
basis_close_basis,0.008124481
cross_taker_funding,0.0076111048
price_wick_lower,0.0074234796
price_wick_upper,0.007089926
liq_long_zscore,0.006405537
basis_delta,0.0039917054
price_true_range,0.0038126148
orderbook_aggregated_asks_usd,0.003460545
orderbook_ask_zscore,0.002378892
cross_funding_price,0.0021046654
price_volume_change,0.0009984623
oi_low,0.0
basis_zscore,0.0
