feature,importance
price_close_return_5,0.015055654
price_log_return,0.014840158
oi_low,0.014418807
oi_open,0.014209556
oi_close,0.0136150485
ls_global_global_account_long_short_ratio,0.012601465
ls_top_ratio,0.012492444
oi_zscore,0.012027843
oi_high,0.011853725
oi_change_abs,0.011693574
ls_top_top_account_short_percent,0.011368182
funding_low,0.01131628
liq_total_mean_12,0.011235626
taker_buy_zscore,0.011222674
basis_zscore,0.011123458
liq_total,0.0110992
liq_long_mean_12,0.011065419
range_percent,0.01106236
ls_top_top_account_long_short_ratio,0.010994319
basis_volatility_24,0.010943176
liq_aggregated_long_liquidation_usd,0.01093664
ls_global_delta,0.010910522
ob_aggregated_bids_quantity,0.010831448
price_close_return_1,0.010801299
liq_imbalance,0.010755581
taker_sell_zscore,0.010739628
ob_depth_change,0.010665717
ob_imbalance_usd,0.010656902
taker_buy_mean_12,0.010598399
taker_buy_ratio,0.010590044
basis_mean_24,0.010502113
price_rolling_vol_5,0.01049855
cross_funding_oi,0.010427301
price_wick_lower,0.0103728715
price_volume_change,0.010324792
ob_asks_mean_12,0.010266082
oi_change,0.0102657955
liq_long_zscore,0.010258381
ls_global_ratio,0.010258198
cross_ls_price,0.010257394
funding_zscore,0.010152292
ob_pressure_asks,0.010118504
ls_global_global_account_long_percent,0.010020319
taker_aggregated_sell_volume,0.009998986
liq_short_zscore,0.009954372
taker_aggregated_buy_volume,0.009927559
ls_global_zscore,0.009901555
basis_open_change,0.00989222
ob_qty_bid_ask_ratio,0.009872457
ob_aggregated_bids_usd,0.009849838
basis_close_change,0.009829988
ob_bid_ask_ratio,0.009784744
price_volume_zscore,0.009761748
price_body_size,0.009744564
ls_top_top_account_long_percent,0.009695425
cross_funding_price,0.009690444
basis_drift,0.009685869
ob_pressure,0.009643402
ls_top_zscore,0.009630321
taker_buy_momentum,0.009620346
price_wick_upper,0.00959071
liq_ratio,0.009588277
funding_norm,0.0095869135
ls_top_delta,0.009572022
taker_imbalance,0.009547753
oi_price_ratio,0.009538232
price_volume_mean_10,0.00953039
basis_delta,0.009512234
liq_short_mean_12,0.009435522
price_true_range,0.009427923
ob_aggregated_asks_usd,0.009355223
ls_global_global_account_short_percent,0.009305975
funding_high,0.009279484
taker_buy_std_12,0.009249501
taker_sell_std_12,0.009228457
price_close,0.009203861
funding_std_24,0.009174902
ls_top_vs_global,0.009137547
basis_close_basis,0.009125149
cross_ob_price,0.009074068
taker_sell_mean_12,0.0090115275
ob_bids_mean_12,0.008926731
price_open,0.008916236
cross_oi_taker,0.00891368
price_high,0.008809952
basis_open_basis,0.008809747
funding_mean_24,0.008677212
cross_liq_funding,0.00865971
price_volume_usd,0.008597142
liq_aggregated_short_liquidation_usd,0.008579948
funding_open,0.008574027
price_close_mean_5,0.008515484
price_close_std_5,0.008374077
cross_liq_price,0.008337319
funding_close,0.008066714
oi_momentum_5,0.0079122335
price_low,0.007874765
liq_spike,0.007725893
ob_aggregated_asks_quantity,0.007321979
funding_extreme_negative,0.0
funding_extreme_positive,0.0
ls_global_extreme_low,0.0
ls_global_extreme_high,0.0
