exchange,symbol,interval,time,signal,price,quantity,leverage,margin_used,notional,fee,cash_after,equity_after
Binance,BTCUSDT,1h,2024-01-01 02:00:00,buy,42581.1,0.04696919525329313,10.0,200.0,2000.0,0.8,799.2,999.2
Binance,BTCUSDT,1h,2024-01-01 10:00:00,sell,42691.1,0.04696919525329313,10.0,200.0,2005.1666114778623,0.802066644591145,1003.5645448332712,1003.5645448332712
Binance,BTCUSDT,1h,2024-01-01 12:00:00,buy,42648.38,0.04706225862896885,10.0,200.71290896665425,2007.1290896665425,0.802851635866617,802.0487842307502,1002.7616931974045
Binance,BTCUSDT,1h,2024-01-01 16:00:00,sell,42725.15,0.04706225862896885,10.0,200.71290896665425,2010.7420592614885,0.8042968237045954,1005.570365968646,1005.570365968646
Binance,BTCUSDT,1h,2024-01-01 17:00:00,buy,42812.7,0.04697533049626144,10.0,201.1140731937292,2011.140731937292,0.8044562927749168,803.6518364821419,1004.7659096758712
Binance,BTCUSDT,1h,2024-01-01 18:00:00,sell,43111.1,0.04697533049626144,10.0,201.1140731937292,2025.1581705573765,0.8100632682229506,1017.9732850277326,1017.9732850277326
Binance,BTCUSDT,1h,2024-01-01 19:00:00,buy,43517.99,0.04678402127615419,10.0,203.59465700554654,2035.9465700554654,0.8143786280221862,813.5642493941639,1017.1589063997104
Binance,BTCUSDT,1h,2024-01-01 20:00:00,sell,43687.86,0.04678402127615419,10.0,203.59465700554654,2043.8937717496458,0.8175575086998583,1024.288550585191,1024.288550585191
Binance,BTCUSDT,1h,2024-01-01 22:00:00,buy,43529.93,0.04706134609383433,10.0,204.8577101170382,2048.577101170382,0.8194308404681527,818.6114096276846,1023.4691197447228
Binance,BTCUSDT,1h,2024-01-02 00:00:00,sell,45056.0,0.04706134609383433,10.0,204.8577101170382,2120.3960096038,0.84815840384152,1094.439869774299,1094.439869774299
Binance,BTCUSDT,1h,2024-01-02 01:00:00,buy,44855.96,0.04879796886631337,10.0,218.88797395485983,2188.879739548598,0.8755518958194393,874.6763439236198,1093.5643178784796
Binance,BTCUSDT,1h,2024-01-02 03:00:00,sell,45402.38,0.04879796886631337,10.0,218.88797395485983,2215.5439256965287,0.8862175702786116,1119.342286456132,1119.342286456132
Binance,BTCUSDT,1h,2024-01-02 04:00:00,buy,45179.8,0.049550564033312754,10.0,223.86845729122638,2238.684572912264,0.8954738291649056,894.5783553357406,1118.4468126269671
Binance,BTCUSDT,1h,2024-01-02 05:00:00,sell,45179.48,0.049550564033312754,10.0,223.86845729122638,2238.668716731773,0.8954674866927094,1117.5354889597836,1117.5354889597836
Binance,BTCUSDT,1h,2024-01-02 06:00:00,buy,45168.75,0.04948268388918372,10.0,223.50709779195674,2235.070977919567,0.894028391167827,893.134362776659,1116.6414605686157
Binance,BTCUSDT,1h,2024-01-02 07:00:00,sell,45455.53,0.04948268388918372,10.0,223.50709779195674,2249.2616220053073,0.899704648802123,1129.9324000055537,1129.9324000055537
Binance,BTCUSDT,1h,2024-01-02 12:00:00,buy,45301.99,0.04988444878494538,10.0,225.98648000111075,2259.8648000111075,0.9039459200044431,903.0419740844386,1129.0284540855494
Binance,BTCUSDT,1h,2024-01-02 16:00:00,sell,45357.84,0.04988444878494538,10.0,225.98648000111075,2262.6508464757467,0.9050603385902987,1130.9094402115982,1130.9094402115982
Binance,BTCUSDT,1h,2024-01-02 17:00:00,buy,44966.15,0.05030047892521812,10.0,226.18188804231966,2261.818880423197,0.9047275521692788,903.8228246171093,1130.004712659429
Binance,BTCUSDT,1h,2024-01-02 18:00:00,sell,45154.69,0.05030047892521812,10.0,226.18188804231966,2271.3025327197574,0.908521013087903,1138.5798439429018,1138.5798439429018
Binance,BTCUSDT,1h,2024-01-02 19:00:00,buy,45039.49,0.05055918013027687,10.0,227.71596878858037,2277.1596878858036,0.9108638751543214,909.9530112791671,1137.6689800677475
Binance,BTCUSDT,1h,2024-01-02 21:00:00,sell,45119.74,0.05055918013027687,10.0,227.71596878858037,2281.2170620912584,0.9124868248365035,1140.8138674483657,1140.8138674483657
Binance,BTCUSDT,1h,2024-01-02 22:00:00,buy,44981.73,0.050723432266761,10.0,228.16277348967316,2281.6277348967315,0.9126510939586926,911.7384428647339,1139.901216354407
Binance,BTCUSDT,1h,2024-01-03 00:00:00,sell,45135.61,0.050723432266761,10.0,228.16277348967316,2289.4330566539406,0.9157732226615763,1146.7907648889545,1146.7907648889545
Binance,BTCUSDT,1h,2024-01-03 05:00:00,buy,45172.13,0.05077426124864843,10.0,229.35815297779092,2293.581529777909,0.9174326119111637,916.5151792992524,1145.8733322770433
Binance,BTCUSDT,1h,2024-01-03 06:00:00,sell,45326.93,0.05077426124864843,10.0,229.35815297779092,2301.4413854192,0.92057655416768,1152.8126113641665,1152.8126113641665
Binance,BTCUSDT,1h,2024-01-03 07:00:00,buy,45011.77,0.051222718474042084,10.0,230.56252227283332,2305.625222728333,0.9222500890913332,921.3278390022418,1151.890361275075
Binance,BTCUSDT,1h,2024-01-03 08:00:00,sell,45200.0,0.051222718474042084,10.0,230.56252227283332,2315.266875026702,0.9261067500106809,1160.6059068234335,1160.6059068234335
Binance,BTCUSDT,1h,2024-01-03 09:00:00,buy,45344.67,0.05119040040752016,10.0,232.12118136468672,2321.211813646867,0.9284847254587468,927.5562407332881,1159.6774220979748
Binance,BTCUSDT,1h,2024-01-03 15:00:00,sell,43000.01,0.05119040040752016,10.0,232.12118136468672,2201.187729427371,0.8804750917709484,1038.7728627867077,1038.7728627867077
Binance,BTCUSDT,1h,2024-01-03 17:00:00,buy,42906.0,0.04842086714150504,10.0,207.75457255734156,2077.5457255734154,0.8310182902293662,830.1872719391367,1037.9418444964783
Binance,BTCUSDT,1h,2024-01-03 21:00:00,sell,42917.62,0.04842086714150504,10.0,207.75457255734156,2078.1083760496,0.83124335041984,1037.6732516222428,1037.6732516222428
Binance,BTCUSDT,1h,2024-01-03 22:00:00,buy,42749.68,0.04854648042381804,10.0,207.53465032444856,2075.3465032444856,0.8301386012977943,829.3084626964965,1036.843113020945
Binance,BTCUSDT,1h,2024-01-04 00:00:00,sell,42874.01,0.04854648042381804,10.0,207.53465032444856,2081.382287155579,0.8325529148622316,1042.0463440171761,1042.0463440171761
Binance,BTCUSDT,1h,2024-01-04 01:00:00,buy,42708.01,0.04879863725878008,10.0,208.40926880343522,2084.0926880343522,0.833637075213741,832.8034381385271,1041.2127069419623
Binance,BTCUSDT,1h,2024-01-04 02:00:00,sell,43138.49,0.04879863725878008,10.0,208.40926880343522,2105.099525401512,0.8420398101606048,1061.3775044989611,1061.3775044989611
Binance,BTCUSDT,1h,2024-01-04 07:00:00,buy,42763.08,0.049639899862169004,10.0,212.27550089979223,2122.7550089979222,0.849102003599169,848.2529015955697,1060.528402495362
Binance,BTCUSDT,1h,2024-01-04 09:00:00,sell,43007.74,0.049639899862169004,10.0,212.27550089979223,2134.8999068982002,0.8539599627592801,1071.8193404328808,1071.8193404328808
Binance,BTCUSDT,1h,2024-01-04 11:00:00,buy,43176.32,0.04964848048341688,10.0,214.3638680865762,2143.6386808657617,0.8574554723463047,856.5980168739584,1070.9618849605345
Binance,BTCUSDT,1h,2024-01-04 12:00:00,sell,43378.12,0.04964848048341688,10.0,214.3638680865762,2153.6577442273156,0.8614630976909262,1080.1194852243973,1080.1194852243973
Binance,BTCUSDT,1h,2024-01-05 01:00:00,buy,43376.0,0.04980263211104746,10.0,216.02389704487948,2160.2389704487946,0.8640955881795179,863.2314925913383,1079.2553896362178
Binance,BTCUSDT,1h,2024-01-05 02:00:00,sell,43506.0,0.04980263211104746,10.0,216.02389704487948,2166.713312623231,0.8666853250492925,1084.8630464856046,1084.8630464856046
Binance,BTCUSDT,1h,2024-01-05 03:00:00,buy,43465.21,0.049918684229783065,10.0,216.97260929712093,2169.7260929712093,0.8678904371884838,867.0225467512952,1083.995156048416
Binance,BTCUSDT,1h,2024-01-05 04:00:00,sell,43589.88,0.049918684229783065,10.0,216.97260929712093,2175.949455334136,0.8703797821336544,1089.3481386292094,1089.3481386292094
Binance,BTCUSDT,1h,2024-01-05 05:00:00,buy,43644.15,0.04991954883434364,10.0,217.8696277258419,2178.696277258419,0.8714785109033676,870.6070323924641,1088.476660118306
Binance,BTCUSDT,1h,2024-01-05 06:00:00,sell,43844.82,0.04991954883434364,10.0,217.8696277258419,2188.7136331230067,0.8754854532492027,1097.6185305296444,1097.6185305296444
Binance,BTCUSDT,1h,2024-01-05 09:00:00,buy,44147.21,0.04972538606764253,10.0,219.5237061059289,2195.237061059289,0.8780948244237156,877.2167295992917,1096.7404357052205
Binance,BTCUSDT,1h,2024-01-05 13:00:00,sell,43986.01,0.04972538606764253,10.0,219.5237061059289,2187.221328825185,0.8748885315300741,1087.8498149395868,1087.8498149395868
Binance,BTCUSDT,1h,2024-01-05 14:00:00,buy,43486.04,0.05003213973677929,10.0,217.5699629879174,2175.6996298791737,0.8702798519516696,869.4095720997178,1086.9795350876352
Binance,BTCUSDT,1h,2024-01-05 17:00:00,sell,43609.53,0.05003213973677929,10.0,217.5699629879174,2181.8780988152685,0.8727512395261074,1092.2852527842037,1092.2852527842037
Binance,BTCUSDT,1h,2024-01-05 19:00:00,buy,43600.0,0.050104828109367144,10.0,218.45705055684076,2184.5705055684075,0.873828202227363,872.9543740251356,1091.4114245819765
Binance,BTCUSDT,1h,2024-01-05 21:00:00,sell,43946.26,0.050104828109367144,10.0,218.45705055684076,2201.9198033495572,0.880767921339823,1107.8799544417861,1107.8799544417861
Binance,BTCUSDT,1h,2024-01-06 02:00:00,buy,43909.31,0.05046218920050378,10.0,221.57599088835724,2215.7599088835723,0.886303963553429,885.4176595898755,1106.9936504782327
Binance,BTCUSDT,1h,2024-01-06 03:00:00,sell,43931.1,0.05046218920050378,10.0,221.57599088835724,2216.8594799862512,0.8867437919945005,1107.2064777889173,1107.2064777889173
Binance,BTCUSDT,1h,2024-01-06 04:00:00,buy,43850.0,0.050499725326746514,10.0,221.44129555778346,2214.4129555778345,0.8857651822311339,884.8794170489027,1106.3207126066861
Binance,BTCUSDT,1h,2024-01-06 11:00:00,sell,43671.96,0.050499725326746514,10.0,221.44129555778346,2205.4219844806607,0.8821687937922643,1096.4475727157198,1096.4475727157198
Binance,BTCUSDT,1h,2024-01-06 12:00:00,buy,43607.96,0.05028657945548106,10.0,219.28951454314398,2192.8951454314397,0.877158058172576,876.2809001144033,1095.5704146575472
Binance,BTCUSDT,1h,2024-01-06 16:00:00,sell,43872.34,0.05028657945548106,10.0,219.28951454314398,2206.18991130788,0.8824759645231519,1107.982704569464,1107.982704569464
Binance,BTCUSDT,1h,2024-01-06 17:00:00,buy,43963.72,0.05040441093562892,10.0,221.5965409138928,2215.965409138928,0.8863861636555712,885.4997774919157,1107.0963184058085
Binance,BTCUSDT,1h,2024-01-06 18:00:00,sell,43995.89,0.05040441093562892,10.0,221.5965409138928,2217.586919038727,0.8870347676154908,1107.8307935379921,1107.8307935379921
Binance,BTCUSDT,1h,2024-01-06 19:00:00,buy,43906.36,0.05046334032418046,10.0,221.56615870759845,2215.6615870759842,0.8862646348303937,885.3783701955633,1106.9445289031619
Binance,BTCUSDT,1h,2024-01-06 20:00:00,sell,43826.44,0.05046334032418046,10.0,221.56615870759845,2211.6285569172755,0.8846514227669102,1102.0268473216865,1102.0268473216865
