time,exchange,symbol,interval,price_open,price_high,price_low,price_close,price_volume_usd,funding_open,funding_high,funding_low,funding_close,basis_open_basis,basis_close_basis,basis_open_change,basis_close_change,ls_global_global_account_long_percent,ls_global_global_account_short_percent,ls_global_global_account_long_short_ratio,ls_top_top_account_long_percent,ls_top_top_account_short_percent,ls_top_top_account_long_short_ratio
2024-01-01 00:00:00,Binance,BTCUSDT,1h,42283.58,42554.57,42261.02,42475.23,53957248.9738,0.037499,0.037552,0.036737,0.036737,-0.0717,-0.0665,-30.32,-28.27,60.11,39.89,1.51,57.77,42.23,1.37
2024-01-01 01:00:00,Binance,BTCUSDT,1h,42475.23,42775.0,42431.65,42613.56,50984893.3481,0.036737,0.036737,0.035642,0.035642,-0.0665,-0.0805,-28.27,-34.34,59.61,40.39,1.48,57.3,42.7,1.34
2024-01-01 02:00:00,Binance,BTCUSDT,1h,42613.57,42638.41,42500.0,42581.1,29167377.9732,0.035642,0.035642,0.034793,0.034971,-0.0805,-0.0922,-34.33,-39.3,59.37,40.63,1.46,57.09,42.91,1.33
2024-01-01 03:00:00,Binance,BTCUSDT,1h,42581.09,42586.64,42230.08,42330.49,33709050.2741,0.034971,0.035091,0.03354,0.033575,-0.0925,-0.0928,-39.41,-39.31,59.44,40.56,1.47,57.15,42.85,1.33
2024-01-01 04:00:00,Binance,BTCUSDT,1h,42330.5,42399.99,42209.46,42399.99,30271621.0007,0.033575,0.033575,0.032567,0.032568,-0.0928,-0.0863,-39.3,-36.61,59.76,40.24,1.49,57.59,42.41,1.36
2024-01-01 05:00:00,Binance,BTCUSDT,1h,42399.98,42406.0,42180.77,42234.01,31159533.4764,0.032568,0.032597,0.031142,0.031234,-0.0863,-0.0913,-36.62,-38.59,60.08,39.92,1.51,57.72,42.28,1.37
2024-01-01 06:00:00,Binance,BTCUSDT,1h,42234.01,42424.82,42208.68,42396.69,25454115.8447,0.031234,0.031235,0.029379,0.029379,-0.0913,-0.0627,-38.59,-26.61,60.1,39.9,1.51,57.9,42.1,1.38
2024-01-01 07:00:00,Binance,BTCUSDT,1h,42396.69,42500.0,42396.68,42492.46,27757929.5827,0.029379,0.029379,0.027213,0.027213,-0.063,-0.0812,-26.71,-34.54,60.37,39.63,1.52,57.95,42.05,1.38
2024-01-01 08:00:00,Binance,BTCUSDT,1h,42492.46,42556.5,42452.58,42549.99,18158032.0713,0.027213,0.028246,0.027213,0.028246,-0.0815,-0.0897,-34.64,-38.21,60.16,39.84,1.51,57.75,42.25,1.37
2024-01-01 09:00:00,Binance,BTCUSDT,1h,42550.0,42699.32,42537.18,42649.69,37495909.152,0.028246,0.030443,0.028246,0.030443,-0.0897,-0.0916,-38.2,-39.11,59.62,40.38,1.48,57.17,42.83,1.34
2024-01-01 10:00:00,Binance,BTCUSDT,1h,42649.69,42749.36,42628.0,42691.1,36575404.2278,0.030443,0.032309,0.030443,0.032309,-0.0914,-0.0857,-39.01,-36.6,58.63,41.37,1.42,56.54,43.46,1.3
2024-01-01 11:00:00,Binance,BTCUSDT,1h,42691.1,42762.39,42605.21,42690.2,33516541.8168,0.032309,0.033969,0.032309,0.033969,-0.0857,-0.0875,-36.6,-37.4,57.73,42.27,1.37,55.81,44.19,1.26
2024-01-01 12:00:00,Binance,BTCUSDT,1h,42690.21,42780.0,42611.45,42648.38,33542689.803,0.033969,0.03576,0.033959,0.03576,-0.0877,-0.0788,-37.49,-33.62,56.55,43.45,1.3,55.1,44.9,1.23
